City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Jumla,NP,2022-04-25 21:22:48,29.2747,82.1838,48.99,42,0,4.36
137,Komsomolskiy,UZ,2022-04-25 21:22:49,40.4272,71.7189,59.72,72,68,4.61
138,Solikamsk,RU,2022-04-25 21:22:49,59.6196,56.7729,34.7,96,37,3.78
139,Estreito,BR,2022-04-25 21:22:49,-5.7833,-43.25,77.47,77,16,2.28
140,Novobiryusinskiy,RU,2022-04-25 21:22:50,56.9578,97.7076,26.01,96,100,3.27
141,Rumford,US,2022-04-25 21:22:50,44.5537,-70.5509,60.73,43,100,9.62
142,Prado,BR,2022-04-25 21:22:50,-17.3411,-39.2208,77.16,81,0,5.64
143,Ahipara,NZ,2022-04-25 21:22:51,-35.1667,173.1667,63.91,72,25,5.84
144,Huron,US,2022-04-25 21:22:51,41.1501,-82.5499,63.84,92,100,14.61
145,Jijiga,ET,2022-04-25 21:22:51,9.35,42.8,63.48,85,99,6.26
146,La Libertad,EC,2022-04-25 21:22:52,-2.2333,-80.9,76.66,78,20,14.97
147,Hithadhoo,MV,2022-04-25 21:22:52,-0.6,73.0833,83.52,74,80,6.89
148,Shimoda,JP,2022-04-25 21:22:52,34.6667,138.95,65.1,90,100,1.36
149,Taoudenni,ML,2022-04-25 21:21:12,22.6783,-3.9836,81.41,16,0,9.69
150,Pisco,PE,2022-04-25 21:19:15,-13.7,-76.2167,69.85,73,0,4.61
151,Krusevac,RS,2022-04-25 21:22:53,43.58,21.3339,59.36,76,8,2.08
152,San Lawrenz,MT,2022-04-25 21:22:53,36.0553,14.204,60.85,66,94,2.24
153,Hobyo,SO,2022-04-25 21:22:53,5.3505,48.5268,83.08,73,53,10.94
154,Kavieng,PG,2022-04-25 21:22:54,-2.5744,150.7967,81.41,78,77,10.89
155,Russell,US,2022-04-25 21:22:54,32.3502,-85.1999,84.11,46,56,5.5
156,Gainesville,US,2022-04-25 21:19:33,29.6516,-82.3248,88.7,44,0,5.75
157,Walvis Bay,NA,2022-04-25 21:22:54,-22.9575,14.5053,59.95,77,0,5.75
158,Seoul,KR,2022-04-25 21:19:42,37.5683,126.9778,62.17,82,75,3.44
159,Barrow,US,2022-04-25 21:19:16,71.2906,-156.7887,14.02,79,100,11.5
160,Nemuro,JP,2022-04-25 21:22:55,43.3236,145.575,39.72,88,13,5.82
161,Kavaratti,IN,2022-04-25 21:22:55,10.5669,72.642,84.24,76,34,5.86
162,Narsaq,GL,2022-04-25 21:22:56,60.9167,-46.05,44.82,79,93,0.81
163,Namatanai,PG,2022-04-25 21:22:56,-3.6667,152.4333,79.54,79,100,5.23
164,Neustrelitz,DE,2022-04-25 21:22:56,53.3667,13.0833,38.75,92,47,4.25
165,Mitsamiouli,KM,2022-04-25 21:22:57,-11.3847,43.2844,81.28,79,70,9.53
166,Thompson,CA,2022-04-25 21:20:45,55.7435,-97.8558,26.76,28,40,4.61
167,Kouroussa,GN,2022-04-25 21:18:12,10.65,-9.8833,87.84,14,2,1.7
168,Langxiang,CN,2022-04-25 21:22:57,46.95,128.8833,42.82,95,100,3.49
169,Nagai,JP,2022-04-25 21:18:11,38.1036,140.035,58.41,83,100,1.39
170,Sayyan,YE,2022-04-25 21:22:57,15.1718,44.3244,60.75,55,77,3.87
171,Menongue,AO,2022-04-25 21:22:58,-14.6585,17.691,62.06,63,26,3.02
172,Calama,CL,2022-04-25 21:22:58,-22.4667,-68.9333,72.09,14,0,16.11
173,Skjeberg,NO,2022-04-25 21:22:58,59.2333,11.2,51.55,70,37,3.29
174,Ban Nahin,LA,2022-04-25 21:22:59,18.2418,104.2122,78.76,75,6,1.9
175,Tokur,RU,2022-04-25 21:22:59,53.1333,132.9,18.01,86,86,3.85
176,Songea,TZ,2022-04-25 21:22:59,-10.6833,35.65,63.81,96,100,1.66
177,Kiunga,PG,2022-04-25 21:23:00,-6.1219,141.2906,73.85,99,100,1.32
178,Saldanha,ZA,2022-04-25 21:24:00,-33.0117,17.9442,53.65,78,0,14.38
179,Rawson,AR,2022-04-25 21:24:00,-43.3002,-65.1023,62.53,30,100,24.99
180,Nome,US,2022-04-25 21:24:01,64.5011,-165.4064,35.17,86,100,3.44
181,Emerald,AU,2022-04-25 21:24:01,-23.5333,148.1667,62.74,100,75,14.97
182,Faya,SA,2022-04-25 21:24:01,18.3851,42.4509,64.51,54,0,5.82
183,Vila Franca Do Campo,PT,2022-04-25 21:24:02,37.7167,-25.4333,62.2,78,13,8.32
184,Ponta Delgada,PT,2022-04-25 21:24:02,37.7333,-25.6667,62.51,77,20,6.91
185,Cavalcante,BR,2022-04-25 21:24:02,-13.7975,-47.4583,74.7,53,11,5.06
186,Ilulissat,GL,2022-04-25 21:24:03,69.2167,-51.1,26.62,93,100,3.44
187,Bandarbeyla,SO,2022-04-25 21:24:03,9.4942,50.8122,81.5,73,99,5.73
188,Kenitra,MA,2022-04-25 21:24:03,34.261,-6.5802,59.76,80,99,7.81
189,Suntar,RU,2022-04-25 21:24:04,62.1444,117.6319,22.57,95,93,2.8
190,Acari,PE,2022-04-25 21:23:13,-15.4311,-74.6158,75.38,65,100,7.14
191,Bethel,US,2022-04-25 21:24:04,41.3712,-73.414,61.66,35,100,6.91
192,Upernavik,GL,2022-04-25 21:19:49,72.7868,-56.1549,18.37,86,27,3.49
193,Aitape,PG,2022-04-25 21:24:04,-3.1374,142.3475,77.86,88,73,5.59
194,Nadym,RU,2022-04-25 21:24:05,65.5333,72.5167,11.3,96,37,6.71
195,Vanavara,RU,2022-04-25 21:24:05,60.34,102.2797,27.52,95,100,3.96
196,Port Lincoln,AU,2022-04-25 21:24:05,-34.7333,135.8667,64.4,80,100,9.89
197,Santa Cruz De La Palma,ES,2022-04-25 21:24:06,28.6835,-17.7642,68.14,68,75,5.75
198,Tual,ID,2022-04-25 21:24:06,-5.6667,132.75,83.35,72,100,3.33
199,Khandyga,RU,2022-04-25 21:24:06,62.6667,135.6,20.52,93,99,0.6
200,Manggar,ID,2022-04-25 21:24:07,-2.8833,108.2667,79.54,83,100,3.44
201,Vardo,NO,2022-04-25 21:24:07,70.3705,31.1107,32.52,61,90,15.52
202,Bathsheba,BB,2022-04-25 21:24:07,13.2167,-59.5167,75.81,100,75,12.66
203,Alofi,NU,2022-04-25 21:24:08,-19.0595,-169.9187,80.49,83,100,6.91
204,Miandrivazo,MG,2022-04-25 21:24:08,-19.5167,45.4667,78.19,68,97,1.66
205,Musoma,TZ,2022-04-25 21:20:05,-1.5,33.8,68.63,85,97,4.0
206,Henties Bay,NA,2022-04-25 21:24:08,-22.116,14.2845,62.65,68,0,7.36
207,Monrovia,LR,2022-04-25 21:24:09,6.3005,-10.7969,80.37,84,99,10.27
208,Kudahuvadhoo,MV,2022-04-25 21:21:19,2.6708,72.8944,83.93,67,12,3.4
209,Saint-Georges,GD,2022-04-25 21:24:09,12.0564,-61.7485,82.08,74,75,11.5
210,Leningradskiy,RU,2022-04-25 21:21:28,69.3833,178.4167,13.68,93,64,9.04
211,Mosquera,CO,2022-04-25 21:24:10,4.7059,-74.2302,59.09,82,75,9.22
212,Rzhev,RU,2022-04-25 21:24:10,56.2624,34.3282,44.35,96,97,4.56
213,Butaritari,KI,2022-04-25 21:24:10,3.0707,172.7902,79.81,83,35,13.56
214,Soe,ID,2022-04-25 21:24:11,-9.8607,124.284,62.6,72,100,3.78
215,Jian,CN,2022-04-25 21:24:11,27.1172,114.9793,70.84,97,79,3.24
216,Nelson Bay,AU,2022-04-25 21:24:11,-32.7167,152.15,63.0,96,100,3.69
217,Portland,US,2022-04-25 21:19:19,45.5234,-122.6762,59.41,79,100,8.05
218,Isangel,VU,2022-04-25 21:24:12,-19.55,169.2667,77.02,71,100,16.71
219,Verkhnevilyuysk,RU,2022-04-25 21:24:12,63.4453,120.3167,21.74,95,98,1.92
220,San Carlos,VE,2022-04-25 21:24:12,9.6612,-68.5827,89.2,47,97,3.4
221,Helena,US,2022-04-25 21:24:13,46.5927,-112.0361,65.25,21,0,5.01
222,Meulaboh,ID,2022-04-25 21:24:13,4.1363,96.1285,75.83,91,100,2.57
223,Vostok,RU,2022-04-25 21:24:13,46.4856,135.8833,39.25,75,100,5.46
224,Van,TR,2022-04-25 21:24:14,38.4924,43.3831,54.75,62,40,9.22
225,Port Hawkesbury,CA,2022-04-25 21:25:14,45.6169,-61.3485,53.82,80,100,5.75
226,Mingguang,CN,2022-04-25 21:25:14,32.7802,117.9638,58.42,97,94,5.66
227,Port Elizabeth,ZA,2022-04-25 21:25:15,-33.918,25.5701,58.32,87,0,12.66
228,Cockburn Town,TC,2022-04-25 21:25:15,21.4612,-71.1419,80.56,61,40,12.66
229,Tiksi,RU,2022-04-25 21:25:15,71.6872,128.8694,-4.4,100,98,2.71
230,Vestmannaeyjar,IS,2022-04-25 21:25:15,63.4427,-20.2734,45.59,85,66,12.64
231,Vallenar,CL,2022-04-25 21:25:16,-28.5708,-70.7581,76.73,32,0,7.05
232,Port Macquarie,AU,2022-04-25 21:25:16,-31.4333,152.9167,58.89,100,75,0.0
233,Conway,US,2022-04-25 21:22:13,35.0887,-92.4421,69.82,57,0,0.0
234,Petropavlovka,RU,2022-04-25 21:25:16,50.6114,105.3196,20.41,59,0,3.91
235,Stony Plain,CA,2022-04-25 21:25:17,53.5334,-114.0021,61.83,36,20,18.41
236,Itanhem,BR,2022-04-25 21:25:17,-17.1664,-40.33,73.56,84,12,6.29
237,Egvekinot,RU,2022-04-25 21:25:17,66.3167,-179.1667,18.43,82,83,8.3
238,Mattru,SL,2022-04-25 21:25:18,7.6244,-11.8332,79.72,81,100,6.31
239,Muros,ES,2022-04-25 21:25:18,42.7762,-9.0603,53.83,80,91,6.8
240,Zhanaozen,KZ,2022-04-25 21:25:18,43.3,52.8,65.12,24,5,12.73
241,Shingu,JP,2022-04-25 21:25:19,33.7333,135.9833,64.65,94,100,1.25
242,Youghal,IE,2022-04-25 21:21:02,51.95,-7.8506,47.08,86,5,11.65
243,Anisoc,GQ,2022-04-25 21:25:19,1.8658,10.7689,72.1,97,100,1.74
244,Richards Bay,ZA,2022-04-25 21:25:20,-28.783,32.0377,68.18,72,92,17.0
245,Odweyne,SO,2022-04-25 21:25:20,9.4092,45.064,70.75,64,100,5.1
246,Emba,KZ,2022-04-25 21:25:20,48.8264,58.1442,50.77,43,100,1.3
247,Margate,GB,2022-04-25 21:25:21,51.3813,1.3862,49.3,84,71,7.0
248,Carbonia,IT,2022-04-25 21:25:21,39.1672,8.5222,56.35,72,23,4.16
249,Koutsouras,GR,2022-04-25 21:25:21,35.0339,25.9469,64.11,69,44,1.48
250,Pochutla,MX,2022-04-25 21:25:22,15.7432,-96.4661,91.22,41,5,9.1
251,Kruisfontein,ZA,2022-04-25 21:25:23,-34.0033,24.7314,53.89,85,1,7.23
252,General Pico,AR,2022-04-25 21:25:23,-35.6566,-63.7568,66.29,28,0,7.4
253,Talnakh,RU,2022-04-25 21:21:12,69.4865,88.3972,1.2,98,100,5.06
254,Poopo,BO,2022-04-25 21:25:24,-18.3667,-66.9667,57.67,13,9,9.73
255,Linqing,CN,2022-04-25 21:25:24,36.8456,115.7117,64.62,88,4,8.52
256,Caernarfon,GB,2022-04-25 21:25:24,53.1413,-4.2702,50.61,75,25,9.22
257,Tiarei,PF,2022-04-25 21:25:25,-17.5333,-149.3333,86.02,74,8,10.18
258,Aksum,ET,2022-04-25 21:25:25,14.1245,38.7244,69.75,43,91,2.82
259,Leshukonskoye,RU,2022-04-25 21:25:25,64.8989,45.7622,32.85,96,100,3.94
260,Songjianghe,CN,2022-04-25 21:25:26,42.1859,127.479,53.1,81,1,5.73
261,Bambous Virieux,MU,2022-04-25 21:25:26,-20.3428,57.7575,73.65,88,40,12.66
262,Port Hedland,AU,2022-04-25 21:25:26,-20.3167,118.5667,69.85,94,48,0.0
263,Pangnirtung,CA,2022-04-25 21:25:27,66.1451,-65.7125,12.2,85,100,25.32
264,Mount Pleasant,US,2022-04-25 21:23:02,32.7941,-79.8626,83.3,62,0,11.5
265,Adrar,MR,2022-04-25 21:25:27,20.5022,-10.0711,78.55,26,0,10.49
266,Ampanihy,MG,2022-04-25 21:25:27,-24.7,44.75,75.42,69,100,5.68
267,Haines Junction,CA,2022-04-25 21:25:28,60.7522,-137.5108,48.15,40,96,3.44
